epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.405,0.87593,4.88752,1.22988,0.00727,0.1883,0.01157,0.01049,0.59035,4.10251,0.99292,3.58487e-05,3.58487e-05,3.58487e-05
2,201.265,0.67447,4.41728,1.06554,0.52542,0.09469,0.06297,0.05683,0.55519,3.47198,0.96064,7.09596e-05,7.09596e-05,7.09596e-05
3,296.352,0.67261,3.86179,1.05883,0.52468,0.16786,0.12605,0.11245,0.53252,2.81271,0.93685,0.000105179,0.000105179,0.000105179
4,390.441,0.66432,3.33222,1.05308,0.4617,0.28115,0.22235,0.19689,0.5127,2.28388,0.92817,0.000103991,0.000103991,0.000103991
5,484.963,0.63202,2.8309,1.0309,0.40907,0.42227,0.34652,0.30835,0.49871,1.88021,0.91379,0.000102654,0.000102654,0.000102654
6,578.472,0.60431,2.47507,1.02046,0.44834,0.49272,0.40994,0.36603,0.48097,1.6212,0.89952,0.000101318,0.000101318,0.000101318
7,673.037,0.57004,2.19521,0.99953,0.45312,0.57151,0.46168,0.4142,0.43996,1.47768,0.88027,9.9981e-05,9.9981e-05,9.9981e-05
8,769.894,0.55449,2.02041,0.98954,0.5297,0.58214,0.52409,0.47235,0.44187,1.33929,0.87824,9.86445e-05,9.86445e-05,9.86445e-05
9,866.298,0.53654,1.84385,0.98257,0.54062,0.57884,0.54539,0.49162,0.43296,1.26795,0.86866,9.7308e-05,9.7308e-05,9.7308e-05
10,959.177,0.51917,1.71973,0.96871,0.5424,0.60493,0.5669,0.51097,0.42868,1.2023,0.86568,9.59715e-05,9.59715e-05,9.59715e-05
11,1056.11,0.5096,1.60382,0.96645,0.56095,0.5979,0.56906,0.51328,0.42238,1.18472,0.86529,9.4635e-05,9.4635e-05,9.4635e-05
12,1149.67,0.50202,1.53105,0.96064,0.56115,0.64063,0.59691,0.54284,0.41232,1.15274,0.85864,9.32985e-05,9.32985e-05,9.32985e-05
13,1244.41,0.49052,1.43318,0.95641,0.57404,0.67445,0.6332,0.5727,0.41422,1.06871,0.85801,9.1962e-05,9.1962e-05,9.1962e-05
14,1338.35,0.48389,1.38169,0.94842,0.60115,0.6712,0.64454,0.58419,0.40942,1.05337,0.85718,9.06255e-05,9.06255e-05,9.06255e-05
15,1432.89,0.4765,1.29518,0.94213,0.57644,0.69309,0.66489,0.60267,0.40693,1.00381,0.85302,8.9289e-05,8.9289e-05,8.9289e-05
16,1528.5,0.47468,1.24893,0.94669,0.60776,0.70366,0.66994,0.60515,0.41665,0.97898,0.8546,8.79525e-05,8.79525e-05,8.79525e-05
17,1622.33,0.46091,1.20827,0.93723,0.58452,0.69914,0.66896,0.60978,0.40307,1.02643,0.85299,8.6616e-05,8.6616e-05,8.6616e-05
18,1719.36,0.45393,1.14737,0.93595,0.61783,0.71211,0.69432,0.6282,0.40067,0.94513,0.85347,8.52795e-05,8.52795e-05,8.52795e-05
19,1812.92,0.45363,1.11849,0.92771,0.59496,0.72772,0.69108,0.62865,0.39547,0.95522,0.8497,8.3943e-05,8.3943e-05,8.3943e-05
20,1910.43,0.44668,1.0824,0.9293,0.59154,0.72456,0.69442,0.63128,0.39508,0.93314,0.84745,8.26065e-05,8.26065e-05,8.26065e-05
21,2005.27,0.443,1.05815,0.92885,0.62676,0.72553,0.70695,0.6428,0.40262,0.90159,0.84835,8.127e-05,8.127e-05,8.127e-05
22,2103.12,0.44021,1.02999,0.92579,0.64337,0.7145,0.71943,0.65436,0.39915,0.87787,0.84894,7.99335e-05,7.99335e-05,7.99335e-05
23,2196.37,0.43122,0.98574,0.92044,0.67276,0.66773,0.7041,0.64382,0.39,0.89144,0.8431,7.8597e-05,7.8597e-05,7.8597e-05
24,2294.96,0.42722,0.9693,0.92282,0.6472,0.74344,0.72139,0.66165,0.39074,0.8709,0.84433,7.72605e-05,7.72605e-05,7.72605e-05
25,2390.69,0.42364,0.93016,0.91925,0.67179,0.71158,0.71853,0.65451,0.39426,0.87661,0.84378,7.5924e-05,7.5924e-05,7.5924e-05
26,2487.15,0.41908,0.91109,0.91809,0.70338,0.694,0.73524,0.67329,0.39096,0.86717,0.84761,7.45875e-05,7.45875e-05,7.45875e-05
27,2584,0.41477,0.88465,0.91002,0.67054,0.70506,0.72275,0.65746,0.39649,0.86848,0.8547,7.3251e-05,7.3251e-05,7.3251e-05
28,2678.93,0.41729,0.86799,0.9149,0.6562,0.73331,0.72199,0.65679,0.38756,0.85921,0.84426,7.19145e-05,7.19145e-05,7.19145e-05
29,2776.47,0.40833,0.85816,0.91083,0.69263,0.70424,0.73009,0.66745,0.38947,0.86971,0.8449,7.0578e-05,7.0578e-05,7.0578e-05
30,2871.02,0.41372,0.84776,0.91512,0.66666,0.73821,0.732,0.67276,0.37878,0.86162,0.83891,6.92415e-05,6.92415e-05,6.92415e-05
31,2966.42,0.40324,0.8339,0.91091,0.70949,0.70343,0.74259,0.67605,0.38572,0.83271,0.84181,6.7905e-05,6.7905e-05,6.7905e-05
32,3060.26,0.40465,0.81964,0.9086,0.68464,0.73871,0.73265,0.67362,0.37734,0.86711,0.83667,6.65685e-05,6.65685e-05,6.65685e-05
